tf,td,tr,ts,
29.7,25,21.85,15.3,
29.6,25,21.9,15.2,
29.5,25,21.9,15.3,
29.4,25,22,15.7,
29.4,25,21.95,15.8,
29.3,25,21.95,16.1,
29.3,25,22,16.2,
29.3,25,22.05,16.5,
29.3,25,22.05,16.9,
29.2,25,22.05,17.2,
29.3,25,22.1,17.4,
29.2,25,22.2,17.6,
29.2,25,22.15,18.1,
29.2,25,22.15,18.2,
29.2,25,22.25,18.6,
29.1,25,22.2,18.7,
29.1,25,22.25,19.1,
29,25,22.2,19.3,
29,25,22.35,19.6,
29,25,22.25,20,
28.9,25,22.35,20.2,
28.9,25,22.25,20.7,
29,25,22.35,21.1,
28.8,25,22.35,21.7,
28.8,25,22.35,22.2,
28.7,25,22.4,22.7,
28.8,25,22.35,22.7,
28.8,25,22.3,22.7,
28.7,25,22.3,22.7,
28.8,25,22.3,22.6,
28.8,25,22.3,22.6,
28.8,25,22.3,22.5,
28.8,25,22.3,22.5,
28.7,25,22.2,22.4,
28.8,25,22.2,22.4,
28.8,25,22.25,22.3,
28.8,25,22.25,22.1,
28.8,25,22.2,22.1,
28.8,25,22.2,22,
28.7,25,22.25,22,
28.8,25,22.2,21.9,
28.7,25,22.25,21.8,
28.8,25,22.25,21.6,
28.8,25,22.15,21.6,
28.8,25,22.15,21.5,
28.9,25,22.15,21.4,
29,25,22.2,21.3,
29,25,22.15,21.2,
29,25,22.15,21.1,
29.1,25,22.15,21,
29.2,25,22.15,20.9,
29.2,25,22.1,20.8,
29.2,25,22.1,20.6,
29.2,25,22.15,20.5,
29.2,25,22.05,20.4,
29.2,25,22.05,20.2,
29.2,25,22.05,20,
29.2,25,22.05,20,
29.2,25,22.05,19.8,
29.2,25,22,19.7,
29.2,25,22,19.6,
29.2,25,22,19.4,
29.3,25,22.05,19.4,
29.2,25,22,19.2,
29.2,25,22,19.1,
29.2,25,22,19,
29.2,25,22,18.9,
29.2,25,22,18.8,
29.2,25,21.9,18.6,
29.2,25,21.95,18.4,
29.2,25,21.95,18.4,
29.2,25,21.95,18.2,
29.3,25,22,18.1,
29.2,25,22,18,
29.2,25,22,17.9,
29.2,25,21.9,17.8,
29.2,25,21.9,17.6,
29.2,25,21.9,17.6,
29.2,25,21.9,17.5,
29.2,25,21.95,17.3,
29.2,25,21.9,17.2,
29.2,25,21.95,17.2,
29.2,25,21.95,17,
29.2,25,21.9,16.9,
29.2,25,21.9,16.9,
29.2,25,21.9,16.7,
29.1,25,21.9,16.7,
29.2,25,21.95,16.5,
29.1,25,21.95,16.4,
29.1,25,21.9,16.3,
29.1,25,21.95,16.2,
29.1,25,21.9,16,
29.1,25,22,15.7,
29.1,25,22,15.5,
29.1,25,22.05,15.4,
29.1,25,22.05,15.4,
29.1,25,22.1,15.6,
29.1,25,22.05,15.9,
29.1,25,22.15,16.1,
29.1,25,22.15,16.4,
29,25,22.15,16.6,
29,25,22.2,16.9,
29,25,22.15,17.2,
28.9,25,22.2,17.4,
29,25,22.2,17.6,
29,25,22.2,17.8,
28.9,25,22.35,18.2,
29,25,22.25,18.5,
28.9,25,22.3,18.9,
29,25,22.35,19.1,
29,25,22.35,19.4,
28.9,25,22.35,19.7,
28.9,25,22.45,20,
29,25,22.45,20.3,
28.9,25,22.4,20.9,
28.9,25,22.4,21.3,
28.8,25,22.35,21.7,
28.8,25,22.4,22.3,
28.9,25,22.45,22.7,
28.9,25,22.45,23.1,
28.9,25,22.4,23.1,
28.8,25,22.35,23.1,
28.7,25,22.4,23.1,
28.8,25,22.45,23.1,
28.7,25,22.35,23,
28.8,25,22.4,22.9,
28.7,25,22.4,22.9,
28.7,25,22.35,22.9,
28.7,25,22.4,22.8,
28.7,25,22.35,22.8,
28.6,25,22.35,22.8,
28.6,25,22.4,22.7,
28.6,25,22.35,22.6,
28.6,25,22.35,22.6,
28.4,25,22.3,22.6,
28.4,25,22.3,22.5,
28.5,25,22.35,22.4,
28.4,25,22.3,22.3,
28.3,25,22.3,22.3,
28.4,25,22.3,22.2,
28.3,25,22.3,22.1,
28.2,25,22.25,22.1,
28.2,25,22.3,22,
28.1,25,22.3,21.9,
28.1,25,22.25,21.9,
27.9,25,22.3,21.7,
27.8,25,22.25,21.7,
27.7,25,22.3,21.6,
27.6,25,22.3,21.5,
27.6,25,22.3,21.4,
27.6,25,22.3,21.3,
27.6,25,22.3,21.2,
27.6,25,22.3,21.1,
27.6,25,22.2,21,
27.6,25,22.25,20.9,
