PI_time,PI_timer,PI_list[],Td,Tr,Tf,PI_Offset_temp,PI_average_offset,PI_Result,PI_offset_sum,PI_P_value,PI_I_value,cStopUp,cStopDown,time,
0,0,20,250.000000,218.500000,297.000000,20,18,-95.000000,630,60,31,0,1,0,
0,500,20,250.000000,219.000000,296.000000,20,20,-104.000000,780,60,39,0,1,0,
0,500,20,250.000000,219.000000,295.000000,20,20,-105.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,294.000000,20,20,-101.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,294.000000,20,20,-100.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,293.000000,20,20,-97.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,293.000000,20,20,-96.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,293.000000,20,20,-93.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,293.000000,20,20,-89.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,292.000000,20,20,-87.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.000000,293.000000,20,20,-84.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,292.000000,20,20,-83.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,292.000000,20,20,-78.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,292.000000,20,20,-77.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,292.000000,20,20,-73.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,291.000000,20,20,-72.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,291.000000,20,20,-68.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,290.000000,20,20,-67.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,290.000000,20,20,-64.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,290.000000,20,20,-60.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,289.000000,20,20,-58.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,289.000000,20,20,-53.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,290.000000,20,20,-49.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,288.000000,20,20,-44.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,288.000000,20,20,-39.000000,800,60,40,0,1,0,
0,500,20,250.000000,224.000000,287.000000,20,20,-34.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.500000,288.000000,20,20,-34.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,288.000000,20,20,-34.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,287.000000,20,20,-34.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,288.000000,20,20,-35.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,288.000000,20,20,-35.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,288.000000,20,20,-36.000000,800,60,40,0,1,0,
0,500,20,250.000000,223.000000,288.000000,20,20,-36.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,287.000000,20,20,-37.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,288.000000,20,20,-37.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,288.000000,20,20,-38.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,288.000000,20,20,-40.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,288.000000,20,20,-40.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,288.000000,20,20,-41.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,287.000000,20,20,-41.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,288.000000,20,20,-42.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,287.000000,20,20,-43.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.500000,288.000000,20,20,-45.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,288.000000,20,20,-45.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,288.000000,20,20,-46.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,289.000000,20,20,-46.000000,800,60,40,0,1,0,
0,500,20,250.000000,222.000000,290.000000,20,20,-47.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,290.000000,20,20,-48.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,290.000000,20,20,-49.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,291.000000,20,20,-49.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,292.000000,20,20,-50.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.000000,292.000000,20,20,-51.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.000000,292.000000,20,20,-53.000000,800,60,40,0,1,0,
0,500,20,250.000000,221.500000,292.000000,20,20,-54.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,292.000000,20,20,-55.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,292.000000,20,20,-57.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,292.000000,20,20,-59.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,292.000000,20,20,-59.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,292.000000,20,20,-61.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-62.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-63.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-65.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,293.000000,20,20,-64.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-67.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-68.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-69.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-70.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-71.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-73.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,292.000000,20,20,-75.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,292.000000,20,20,-75.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,292.000000,20,20,-77.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,293.000000,20,20,-77.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-79.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,292.000000,20,20,-80.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-81.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-83.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-83.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-84.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,292.000000,20,20,-86.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-87.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,292.000000,20,20,-87.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,292.000000,20,20,-89.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-90.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-90.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,292.000000,20,20,-92.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,291.000000,20,20,-92.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,292.000000,20,20,-94.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,291.000000,20,20,-95.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,291.000000,20,20,-96.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.500000,291.000000,20,20,-97.000000,800,60,40,0,1,0,
0,500,20,250.000000,219.000000,291.000000,20,20,-99.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,291.000000,20,20,-102.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.000000,291.000000,20,20,-104.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,291.000000,20,20,-105.000000,800,60,40,0,1,0,
0,500,20,250.000000,220.500000,291.000000,20,20,-105.000000,800,60,40,0,1,0,
